RK,TIERS,PLAYER NAME,TEAM,POS,BYE,SOS,ECR VS ADP,Team
1,1,Ja'Marr Chase,CIN,WR1,10,3 out of 5 stars,0,UNK
2,1,Bijan Robinson,ATL,RB1,5,4 out of 5 stars,0,UNK
3,1,Saquon Barkley,PHI,RB2,9,3 out of 5 stars,0,UNK
4,1,Justin Jefferson,MIN,WR2,6,2 out of 5 stars,+1,UNK
5,1,CeeDee Lamb,DAL,WR3,10,2 out of 5 stars,+1,UNK
6,1,Jahmyr Gibbs,DET,RB3,8,2 out of 5 stars,-2,UNK
7,2,Derrick Henry,BAL,RB4,7,4 out of 5 stars,+4,UNK
8,2,Nico Collins,HOU,WR4,6,4 out of 5 stars,+4,UNK
9,2,Malik Nabers,NYG,WR5,14,2 out of 5 stars,-1,UNK
10,2,Brian Thomas Jr.,JAC,WR6,8,4 out of 5 stars,+4,UNK
11,2,Puka Nacua,LAR,WR7,8,3 out of 5 stars,+2,UNK
12,3,Ashton Jeanty,LV,RB5,8,2 out of 5 stars,-3,UNK
13,3,Christian McCaffrey,SF,RB6,14,3 out of 5 stars,-3,UNK
14,3,Drake London,ATL,WR8,5,3 out of 5 stars,+5,UNK
15,3,Jonathan Taylor,IND,RB7,11,2 out of 5 stars,+6,UNK
16,3,A.J. Brown,PHI,WR9,9,3 out of 5 stars,+6,UNK
17,3,Amon-Ra St. Brown,DET,WR10,8,3 out of 5 stars,-10,UNK
18,3,Josh Jacobs,GB,RB8,5,4 out of 5 stars,-1,UNK
19,3,George Kittle,SF,TE1,14,3 out of 5 stars,+20,UNK
20,3,Brock Bowers,LV,TE2,8,2 out of 5 stars,-2,UNK
21,4,Bucky Irving,TB,RB9,9,3 out of 5 stars,-6,UNK
22,4,Ladd McConkey,LAC,WR11,12,3 out of 5 stars,+4,UNK
23,4,Kyren Williams,LAR,RB10,8,3 out of 5 stars,+2,UNK
24,4,De'Von Achane,MIA,RB11,12,4 out of 5 stars,-8,UNK
25,4,Josh Allen,BUF,QB1,7,4 out of 5 stars,-2,UNK
26,4,Lamar Jackson,BAL,QB2,7,3 out of 5 stars,-2,UNK
27,4,Chase Brown,CIN,RB12,10,4 out of 5 stars,-7,UNK
28,4,Tee Higgins,CIN,WR12,10,3 out of 5 stars,+5,UNK
29,4,Mike Evans,TB,WR13,9,3 out of 5 stars,+13,UNK
30,4,Trey McBride,ARI,TE3,8,5 out of 5 stars,-3,UNK
31,4,Jayden Daniels,WAS,QB3,12,2 out of 5 stars,-3,UNK
32,4,James Cook,BUF,RB13,7,4 out of 5 stars,-1,UNK
33,4,Jaxon Smith-Njigba,SEA,WR14,8,3 out of 5 stars,-4,UNK
34,5,Tyreek Hill,MIA,WR15,12,3 out of 5 stars,-4,UNK
35,5,Davante Adams,LAR,WR16,8,3 out of 5 stars,+9,UNK
36,5,Omarion Hampton,LAC,RB14,12,2 out of 5 stars,-4,UNK
37,5,Jalen Hurts,PHI,QB4,9,3 out of 5 stars,+4,UNK
38,5,Marvin Harrison Jr.,ARI,WR17,8,4 out of 5 stars,+2,UNK
39,5,Terry McLaurin,WAS,WR18,12,3 out of 5 stars,-4,UNK
40,5,Garrett Wilson,NYJ,WR19,9,4 out of 5 stars,-3,UNK
41,5,Kenneth Walker III,SEA,RB15,8,3 out of 5 stars,+2,UNK
42,5,DK Metcalf,PIT,WR20,5,4 out of 5 stars,+8,UNK
43,5,Chuba Hubbard,CAR,RB16,14,3 out of 5 stars,+2,UNK
44,5,Joe Burrow,CIN,QB5,10,2 out of 5 stars,-8,UNK
45,5,Breece Hall,NYJ,RB17,9,5 out of 5 stars,-11,UNK
46,5,Courtland Sutton,DEN,WR21,12,3 out of 5 stars,+3,UNK
47,5,TreVeyon Henderson,NE,RB18,14,4 out of 5 stars,-1,UNK
48,5,Jameson Williams,DET,WR22,8,3 out of 5 stars,+10,UNK
49,5,James Conner,ARI,RB19,8,3 out of 5 stars,-2,UNK
50,5,Alvin Kamara,NO,RB20,11,4 out of 5 stars,-12,UNK
51,6,Xavier Worthy,KC,WR23,10,3 out of 5 stars,+2,UNK
52,6,DJ Moore,CHI,WR24,5,2 out of 5 stars,-4,UNK
53,6,Calvin Ridley,TEN,WR25,10,4 out of 5 stars,+13,UNK
54,6,Tetairoa McMillan,CAR,WR26,14,4 out of 5 stars,-2,UNK
55,6,George Pickens,DAL,WR27,10,2 out of 5 stars,+8,UNK
56,6,DeVonta Smith,PHI,WR28,9,3 out of 5 stars,-1,UNK
57,6,David Montgomery,DET,RB21,8,2 out of 5 stars,-1,UNK
58,6,D'Andre Swift,CHI,RB22,5,3 out of 5 stars,+3,UNK
59,6,Tony Pollard,TEN,RB23,10,2 out of 5 stars,+6,UNK
60,6,Zay Flowers,BAL,WR29,7,3 out of 5 stars,+2,UNK
61,6,RJ Harvey,DEN,RB24,12,2 out of 5 stars,-10,UNK
62,6,Sam LaPorta,DET,TE4,8,3 out of 5 stars,-3,UNK
63,6,Isiah Pacheco,KC,RB25,10,2 out of 5 stars,-6,UNK
64,6,Patrick Mahomes II,KC,QB6,10,3 out of 5 stars,-4,UNK
65,6,Jaylen Waddle,MIA,WR30,12,3 out of 5 stars,+7,UNK
