Rank,Player,Team,Pos,Bye,ADP
1,Ja'Marr Chase,CIN,WR1,10,
2,Bijan Robinson,ATL,RB1,5,
3,Saquon Barkley,PHI,RB2,9,
4,Justin Jefferson,MIN,WR2,6,
5,CeeDee Lamb,DAL,WR3,10,
6,Jahmyr Gibbs,DET,RB3,8,
7,Derrick Henry,BAL,RB4,7,
8,Nico Collins,HOU,WR4,6,
9,Malik Nabers,NYG,WR5,14,
10,Brian Thomas Jr.,JAC,WR6,8,
11,Puka Nacua,LAR,WR7,8,
12,Ashton Jeanty,LV,RB5,8,
13,Christian McCaffrey,SF,RB6,14,
14,Drake London,ATL,WR8,5,
15,Jonathan Taylor,IND,RB7,11,
16,A.J. Brown,PHI,WR9,9,
17,Amon-Ra St. Brown,DET,WR10,8,
18,Josh Jacobs,GB,RB8,5,
19,George Kittle,SF,TE1,14,
20,Brock Bowers,LV,TE2,8,
21,Bucky Irving,TB,RB9,9,
22,Ladd McConkey,LAC,WR11,12,
23,Kyren Williams,LAR,RB10,8,
24,De'Von Achane,MIA,RB11,12,
25,Josh Allen,BUF,QB1,7,
26,Lamar Jackson,BAL,QB2,7,
27,Chase Brown,CIN,RB12,10,
28,Tee Higgins,CIN,WR12,10,
29,Mike Evans,TB,WR13,9,
30,Trey McBride,ARI,TE3,8,
31,Jayden Daniels,WAS,QB3,12,
32,James Cook,BUF,RB13,7,
33,Jaxon Smith-Njigba,SEA,WR14,8,
34,Tyreek Hill,MIA,WR15,12,
35,Davante Adams,LAR,WR16,8,
36,Omarion Hampton,LAC,RB14,12,
37,Jalen Hurts,PHI,QB4,9,
38,Marvin Harrison Jr.,ARI,WR17,8,
39,Terry McLaurin,WAS,WR18,12,
40,Garrett Wilson,NYJ,WR19,9,
41,Kenneth Walker III,SEA,RB15,8,
42,DK Metcalf,PIT,WR20,5,
43,Chuba Hubbard,CAR,RB16,14,
44,Joe Burrow,CIN,QB5,10,
45,Breece Hall,NYJ,RB17,9,
46,Courtland Sutton,DEN,WR21,12,
47,TreVeyon Henderson,NE,RB18,14,
48,Jameson Williams,DET,WR22,8,
49,James Conner,ARI,RB19,8,
50,Alvin Kamara,NO,RB20,11,
51,Xavier Worthy,KC,WR23,10,
52,DJ Moore,CHI,WR24,5,
53,Calvin Ridley,TEN,WR25,10,
54,Tetairoa McMillan,CAR,WR26,14,
55,George Pickens,DAL,WR27,10,
56,DeVonta Smith,PHI,WR28,9,
57,David Montgomery,DET,RB21,8,
58,D'Andre Swift,CHI,RB22,5,
59,Tony Pollard,TEN,RB23,10,
60,Zay Flowers,BAL,WR29,7,
61,RJ Harvey,DEN,RB24,12,
62,Sam LaPorta,DET,TE4,8,
63,Isiah Pacheco,KC,RB25,10,
