Pick,Player,Team,Pos
1,Bijan Robinson (Atl - RB),It be like that,
2,Ja'Marr Chase (Cin - WR),Purdy Eazy S...,
3,Josh Allen (Buf - QB),SLAMDUNK,
4,Saquon Barkley (Phi - RB),Uncle Lous z...,
5,Jayden Daniels (Was - QB),Coach Mode R...,
6,Lamar Jackson (Bal - QB),Kimochi Inc.,
7,Jalen Hurts (Phi - QB),Local sports...,
8,Amon-Ra St. Brown (Det - WR),Zero Dark Purdy,
9,Jahmyr Gibbs (Det - RB),Rush Mode Th...,
10,Joe Burrow (Cin - QB),All Barkley ...,
11,CeeDee Lamb (Dal - WR),Modelos & TDs,
12,Justin Jefferson (Min - WR),COACH SONNEIBO,
13,Ashton Jeanty (LV - RB),COACH SONNEIBO,
14,Christian McCaffrey (SF - RB),Modelos & TDs,
15,Malik Nabers (NYG - WR),All Barkley ...,
16,Derrick Henry (Bal - RB),Rush Mode Th...,
17,Patrick Mahomes (KC - QB),Zero Dark Purdy,
18,De'Von Achane (Mia - RB),Local sports...,
19,Nico Collins (Hou - WR),Kimochi Inc.,
20,Jonathan Taylor (Ind - RB),Coach Mode R...,
21,Josh Jacobs (GB - RB),Uncle Lous z...,
22,Chase Brown (Cin - RB),SLAMDUNK,
23,Puka Nacua (LAR - WR),Purdy Eazy S...,
24,Bucky Irving (TB - RB),It be like that,
25,Trey McBride (Ari - TE),It be like that,
26,Sam LaPorta (Det - TE),Purdy Eazy S...,
27,Omarion Hampton (LAC - RB),SLAMDUNK,
28,Baker Mayfield (TB - QB),Uncle Lous z...,
29,Tyreek Hill (Mia - WR),Coach Mode R...,
30,Brock Bowers (LV - TE),Kimochi Inc.,
31,Brian Thomas Jr. (Jax - WR),Local sports...,
32,Drake London (Atl - WR),Zero Dark Purdy,
33,A.J. Brown (Phi - WR),Rush Mode Th...,
34,Chuba Hubbard (Car - RB),All Barkley ...,
35,Bo Nix (Den - QB),Modelos & TDs,
36,Tee Higgins (Cin - WR),COACH SONNEIBO,
37,James Cook (Buf - RB),COACH SONNEIBO,
38,Jaxon Smith-Njigba (Sea - WR),Modelos & TDs,
39,Alvin Kamara (NO - RB),All Barkley ...,
40,Ladd McConkey (LAC - WR),Rush Mode Th...,
41,Kyren Williams (LAR - RB),Zero Dark Purdy,
42,George Kittle (SF - TE),Local sports...,
43,Kenneth Walker III (Sea - RB),Kimochi Inc.,
44,Mike Evans (TB - WR),Coach Mode R...,
45,Brock Purdy (SF - QB),Uncle Lous z...,
46,Marvin Harrison Jr. (Ari - WR),SLAMDUNK,
47,Breece Hall (NYJ - RB),Purdy Eazy S...,
48,Kyler Murray (Ari - QB),It be like that,
49,Jared Goff (Det - QB),It be like that,
50,Justin Herbert (LAC - QB),Purdy Eazy S...,
51,James Conner (Ari - RB),SLAMDUNK,
52,Davante Adams (LAR - WR),Uncle Lous z...,
53,Garrett Wilson (NYJ - WR),Coach Mode R...,
54,Drake Maye (NE - QB),Kimochi Inc.,
55,Dak Prescott (Dal - QB),Local sports...,
56,TreVeyon Henderson (NE - RB),Zero Dark Purdy,
57,Terry McLaurin (Was - WR),Rush Mode Th...,
58,DeVonta Smith (Phi - WR),All Barkley ...,
59,DK Metcalf (Pit - WR),Modelos & TDs,
60,Jordan Love (GB - QB),COACH SONNEIBO,
61,C.J. Stroud (Hou - QB),COACH SONNEIBO,
62,RJ Harvey (Den - RB),Modelos & TDs,
63,J.J. McCarthy (Min - QB),All Barkley ...,
64,George Pickens (Dal - WR),Rush Mode Th...,
65,Tony Pollard (Ten - RB),Zero Dark Purdy,
66,Isiah Pacheco (KC - RB),Local sports...,
67,Tetairoa McMillan (Car - WR),Kimochi Inc.,
68,David Montgomery (Det - RB),Coach Mode R...,
69,Mark Andrews (Bal - TE),Uncle Lous z...,
70,Xavier Worthy (KC - WR),SLAMDUNK,
71,D'Andre Swift (Chi - RB),Purdy Eazy S...,
72,DJ Moore (Chi - WR),It be like that,
73,Jameson Williams (Det - WR),It be like that,
74,Aaron Jones Sr. (Min - RB),Purdy Eazy S...,
75,Trevor Lawrence (Jax - QB),SLAMDUNK,
76,Jaylen Waddle (Mia - WR),Uncle Lous z...,
77,Geno Smith (LV - QB),Coach Mode R...,
78,Calvin Ridley (Ten - WR),Kimochi Inc.,
79,Courtland Sutton (Den - WR),Local sports...,
80,Ricky Pearsall (SF - WR),Zero Dark Purdy,
81,T.J. Hockenson (Min - TE),Rush Mode Th...,
82,Travis Etienne Jr. (Jax - RB),All Barkley ...,
83,Travis Kelce (KC - TE),Modelos & TDs,
84,Chris Olave (NO - WR),COACH SONNEIBO,
85,Zay Flowers (Bal - WR),COACH SONNEIBO,
86,Kaleb Johnson (Pit - RB),Modelos & TDs,
87,Emeka Egbuka (TB - WR),All Barkley ...,
88,Jaylen Warren (Pit - RB),Rush Mode Th...,
89,Rome Odunze (Chi - WR),Zero Dark Purdy,
90,Matthew Golden (GB - WR),Local sports...,
91,Jordan Mason (Min - RB),Kimochi Inc.,
92,Matthew Stafford (LAR - QB),Coach Mode R...,
93,Denver (Den - DEF),Uncle Lous z...,
94,Travis Hunter (Jax - WR),SLAMDUNK,
95,Deebo Samuel (Was - WR),Purdy Eazy S...,
96,Tyrone Tracy Jr. (NYG - RB),It be like that,
97,Jerry Jeudy (Cle - WR),It be like that,
98,Jakobi Meyers (LV - WR),Purdy Eazy S...,
99,Stefon Diggs (NE - WR),SLAMDUNK,
100,Jauan Jennings (SF - WR),Uncle Lous z...,
101,Rashee Rice (KC - WR),Coach Mode R...,
102,Braelon Allen (NYJ - RB),Kimochi Inc.,
103,Zach Charbonnet (Sea - RB),Local sports...,
104,David Njoku (Cle - TE),Zero Dark Purdy,
105,Michael Penix Jr. (Atl - QB),Rush Mode Th...,
106,Philadelphia (Phi - DEF),All Barkley ...,
107,Evan Engram (Den - TE),Modelos & TDs,
108,Jordan Addison (Min - WR),COACH SONNEIBO,
109,Caleb Williams (Chi - QB),COACH SONNEIBO,
110,Tua Tagovailoa (Mia - QB),Modelos & TDs,
111,Jake Ferguson (Dal - TE),All Barkley ...,
112,Justin Fields (NYJ - QB),Rush Mode Th...,
113,Bhayshul Tuten (Jax - RB),Zero Dark Purdy,
114,Jacory Croskey-Merritt (Was - RB),Local sports...,
