Pick,Round,TeamSlot,IsMine,Player,NFLTeam,Pos
1,1,1,,Bijan Robinson (Atl - RB),It be like that,
2,1,2,,Ja'Marr Chase (Cin - WR),Purdy Eazy S...,
3,1,3,,Josh Allen (Buf - QB),SLAMDUNK,
4,1,4,,Saquon Barkley (Phi - RB),Uncle Lous z...,
5,1,5,,Jayden Daniels (Was - QB),Coach Mode R...,
6,1,6,,Lamar Jackson (Bal - QB),Kimochi Inc.,
7,1,7,,Jalen Hurts (Phi - QB),Local sports...,
8,1,8,,Amon-Ra St. Brown (Det - WR),Zero Dark Purdy,
9,1,9,YES,Jahmyr Gibbs (Det - RB),Rush Mode Th...,
10,1,10,,Joe Burrow (Cin - QB),All Barkley ...,
11,1,11,,CeeDee Lamb (Dal - WR),Modelos & TDs,
12,1,12,,Justin Jefferson (Min - WR),COACH SONNEIBO,
13,2,12,,Ashton Jeanty (LV - RB),COACH SONNEIBO,
14,2,11,,Christian McCaffrey (SF - RB),Modelos & TDs,
15,2,10,,Malik Nabers (NYG - WR),All Barkley ...,
16,2,9,YES,Derrick Henry (Bal - RB),Rush Mode Th...,
17,2,8,,Patrick Mahomes (KC - QB),Zero Dark Purdy,
18,2,7,,De'Von Achane (Mia - RB),Local sports...,
19,2,6,,Nico Collins (Hou - WR),Kimochi Inc.,
20,2,5,,Jonathan Taylor (Ind - RB),Coach Mode R...,
21,2,4,,Josh Jacobs (GB - RB),Uncle Lous z...,
22,2,3,,Chase Brown (Cin - RB),SLAMDUNK,
23,2,2,,Puka Nacua (LAR - WR),Purdy Eazy S...,
24,2,1,,Bucky Irving (TB - RB),It be like that,
25,3,1,,Trey McBride (Ari - TE),It be like that,
26,3,2,,Sam LaPorta (Det - TE),Purdy Eazy S...,
27,3,3,,Omarion Hampton (LAC - RB),SLAMDUNK,
28,3,4,,Baker Mayfield (TB - QB),Uncle Lous z...,
29,3,5,,Tyreek Hill (Mia - WR),Coach Mode R...,
30,3,6,,Brock Bowers (LV - TE),Kimochi Inc.,
31,3,7,,Brian Thomas Jr. (Jax - WR),Local sports...,
32,3,8,,Drake London (Atl - WR),Zero Dark Purdy,
33,3,9,YES,A.J. Brown (Phi - WR),Rush Mode Th...,
34,3,10,,Chuba Hubbard (Car - RB),All Barkley ...,
35,3,11,,Bo Nix (Den - QB),Modelos & TDs,
36,3,12,,Tee Higgins (Cin - WR),COACH SONNEIBO,
37,4,12,,James Cook (Buf - RB),COACH SONNEIBO,
38,4,11,,Jaxon Smith-Njigba (Sea - WR),Modelos & TDs,
39,4,10,,Alvin Kamara (NO - RB),All Barkley ...,
40,4,9,YES,Ladd McConkey (LAC - WR),Rush Mode Th...,
41,4,8,,Kyren Williams (LAR - RB),Zero Dark Purdy,
42,4,7,,George Kittle (SF - TE),Local sports...,
43,4,6,,Kenneth Walker III (Sea - RB),Kimochi Inc.,
44,4,5,,Mike Evans (TB - WR),Coach Mode R...,
45,4,4,,Brock Purdy (SF - QB),Uncle Lous z...,
46,4,3,,Marvin Harrison Jr. (Ari - WR),SLAMDUNK,
47,4,2,,Breece Hall (NYJ - RB),Purdy Eazy S...,
48,4,1,,Kyler Murray (Ari - QB),It be like that,
49,5,1,,Jared Goff (Det - QB),It be like that,
50,5,2,,Justin Herbert (LAC - QB),Purdy Eazy S...,
51,5,3,,James Conner (Ari - RB),SLAMDUNK,
52,5,4,,Davante Adams (LAR - WR),Uncle Lous z...,
53,5,5,,Garrett Wilson (NYJ - WR),Coach Mode R...,
54,5,6,,Drake Maye (NE - QB),Kimochi Inc.,
55,5,7,,Dak Prescott (Dal - QB),Local sports...,
56,5,8,,TreVeyon Henderson (NE - RB),Zero Dark Purdy,
57,5,9,YES,Terry McLaurin (Was - WR),Rush Mode Th...,
58,5,10,,DeVonta Smith (Phi - WR),All Barkley ...,
59,5,11,,DK Metcalf (Pit - WR),Modelos & TDs,
60,5,12,,Jordan Love (GB - QB),COACH SONNEIBO,
61,6,12,,C.J. Stroud (Hou - QB),COACH SONNEIBO,
62,6,11,,RJ Harvey (Den - RB),Modelos & TDs,
63,6,10,,J.J. McCarthy (Min - QB),All Barkley ...,
64,6,9,YES,George Pickens (Dal - WR),Rush Mode Th...,
65,6,8,,Tony Pollard (Ten - RB),Zero Dark Purdy,
66,6,7,,Isiah Pacheco (KC - RB),Local sports...,
67,6,6,,Tetairoa McMillan (Car - WR),Kimochi Inc.,
68,6,5,,David Montgomery (Det - RB),Coach Mode R...,
69,6,4,,Mark Andrews (Bal - TE),Uncle Lous z...,
70,6,3,,Xavier Worthy (KC - WR),SLAMDUNK,
71,6,2,,D'Andre Swift (Chi - RB),Purdy Eazy S...,
72,6,1,,DJ Moore (Chi - WR),It be like that,
73,7,1,,Jameson Williams (Det - WR),It be like that,
74,7,2,,Aaron Jones Sr. (Min - RB),Purdy Eazy S...,
75,7,3,,Trevor Lawrence (Jax - QB),SLAMDUNK,
76,7,4,,Jaylen Waddle (Mia - WR),Uncle Lous z...,
77,7,5,,Geno Smith (LV - QB),Coach Mode R...,
78,7,6,,Calvin Ridley (Ten - WR),Kimochi Inc.,
79,7,7,,Courtland Sutton (Den - WR),Local sports...,
80,7,8,,Ricky Pearsall (SF - WR),Zero Dark Purdy,
81,7,9,YES,T.J. Hockenson (Min - TE),Rush Mode Th...,
82,7,10,,Travis Etienne Jr. (Jax - RB),All Barkley ...,
83,7,11,,Travis Kelce (KC - TE),Modelos & TDs,
84,7,12,,Chris Olave (NO - WR),COACH SONNEIBO,
85,8,12,,Zay Flowers (Bal - WR),COACH SONNEIBO,
86,8,11,,Kaleb Johnson (Pit - RB),Modelos & TDs,
87,8,10,,Emeka Egbuka (TB - WR),All Barkley ...,
88,8,9,YES,Jaylen Warren (Pit - RB),Rush Mode Th...,
89,8,8,,Rome Odunze (Chi - WR),Zero Dark Purdy,
90,8,7,,Matthew Golden (GB - WR),Local sports...,
91,8,6,,Jordan Mason (Min - RB),Kimochi Inc.,
92,8,5,,Matthew Stafford (LAR - QB),Coach Mode R...,
93,8,4,,Denver (Den - DEF),Uncle Lous z...,
94,8,3,,Travis Hunter (Jax - WR),SLAMDUNK,
95,8,2,,Deebo Samuel (Was - WR),Purdy Eazy S...,
96,8,1,,Tyrone Tracy Jr. (NYG - RB),It be like that,
97,9,1,,Jerry Jeudy (Cle - WR),It be like that,
98,9,2,,Jakobi Meyers (LV - WR),Purdy Eazy S...,
99,9,3,,Stefon Diggs (NE - WR),SLAMDUNK,
100,9,4,,Jauan Jennings (SF - WR),Uncle Lous z...,
101,9,5,,Rashee Rice (KC - WR),Coach Mode R...,
102,9,6,,Braelon Allen (NYJ - RB),Kimochi Inc.,
103,9,7,,Zach Charbonnet (Sea - RB),Local sports...,
104,9,8,,David Njoku (Cle - TE),Zero Dark Purdy,
105,9,9,YES,Michael Penix Jr. (Atl - QB),Rush Mode Th...,
106,9,10,,Philadelphia (Phi - DEF),All Barkley ...,
107,9,11,,Evan Engram (Den - TE),Modelos & TDs,
108,9,12,,Jordan Addison (Min - WR),COACH SONNEIBO,
109,10,12,,Caleb Williams (Chi - QB),COACH SONNEIBO,
110,10,11,,Tua Tagovailoa (Mia - QB),Modelos & TDs,
111,10,10,,Jake Ferguson (Dal - TE),All Barkley ...,
112,10,9,YES,Justin Fields (NYJ - QB),Rush Mode Th...,
113,10,8,,Bhayshul Tuten (Jax - RB),Zero Dark Purdy,
114,10,7,,Jacory Croskey-Merritt (Was - RB),Local sports...,
115,10,6,,Josh Downs (Ind - WR),Kimochi Inc.,
116,10,5,,Nick Chubb (Hou - RB),Coach Mode R...,
117,10,4,,Jayden Reed (GB - WR),Uncle Lous z...,
118,10,3,,Khalil Shakir (Buf - WR),SLAMDUNK,
119,10,2,,Brandon Aubrey (Dal - K),Purdy Eazy S...,
120,10,1,,Pittsburgh (Pit - DEF),It be like that,
121,11,1,,Cameron Dicker (LAC - K),It be like that,
122,11,2,,Tucker Kraft (GB - TE),Purdy Eazy S...,
123,11,3,,Baltimore (Bal - DEF),SLAMDUNK,
124,11,4,,Cam Skattebo (NYG - RB),Uncle Lous z...,
125,11,5,,Joe Mixon (Hou - RB),Coach Mode R...,
126,11,6,,Rhamondre Stevenson (NE - RB),Kimochi Inc.,
127,11,7,,Cam Ward (Ten - QB),Local sports...,
128,11,8,,Michael Pittman Jr. (Ind - WR),Zero Dark Purdy,
129,11,9,YES,J.K. Dobbins (Den - RB),Rush Mode Th...,
130,11,10,,Quinshon Judkins (Cle - RB),All Barkley ...,
131,11,11,,Brian Robinson Jr. (SF - RB),Modelos & TDs,
132,11,12,,Tyler Warren (Ind - TE),COACH SONNEIBO,
133,12,12,,Javonte Williams (Dal - RB),COACH SONNEIBO,
134,12,11,,Bryce Young (Car - QB),Modelos & TDs,
135,12,10,,Jayden Higgins (Hou - WR),All Barkley ...,
136,12,9,YES,Tank Bigsby (Jax - RB),Rush Mode Th...,
137,12,8,,Rashid Shaheed (NO - WR),Zero Dark Purdy,
138,12,7,,Cooper Kupp (Sea - WR),Local sports...,
139,12,6,,Darnell Mooney (Atl - WR),Kimochi Inc.,
140,12,5,,Joe Flacco (Cle - QB),Coach Mode R...,
141,12,4,,Sam Darnold (Sea - QB),Uncle Lous z...,
142,12,3,,Keon Coleman (Buf - WR),SLAMDUNK,
143,12,2,,Aaron Rodgers (Pit - QB),Purdy Eazy S...,
144,12,1,,Wan'Dale Robinson (NYG - WR),It be like that,
145,13,1,,Austin Ekeler (Was - RB),It be like that,
146,13,2,,Minnesota (Min - DEF),Purdy Eazy S...,
147,13,3,,Kyle Pitts Sr. (Atl - TE),SLAMDUNK,
148,13,4,,Keenan Allen (LAC - WR),Uncle Lous z...,
149,13,5,,Dalton Kincaid (Buf - TE),Coach Mode R...,
150,13,6,,Colston Loveland (Chi - TE),Kimochi Inc.,
151,13,7,,Luther Burden III (Chi - WR),Local sports...,
152,13,8,,Buffalo (Buf - DEF),Zero Dark Purdy,
153,13,9,YES,Chris Godwin Jr. (TB - WR),Rush Mode Th...,
154,13,10,,Xavier Legette (Car - WR),All Barkley ...,
155,13,11,,Jake Bates (Det - K),Modelos & TDs,
156,13,12,,Jaydon Blue (Dal - RB),COACH SONNEIBO,
157,14,12,,Ray Davis (Buf - RB),COACH SONNEIBO,
158,14,11,,Houston (Hou - DEF),Modelos & TDs,
159,14,10,,Trey Benson (Ari - RB),All Barkley ...,
160,14,9,YES,Dallas Goedert (Phi - TE),Rush Mode Th...,
161,14,8,,Shedeur Sanders (Cle - QB),Zero Dark Purdy,
162,14,7,,Brandon Aiyuk (SF - WR),Local sports...,
163,14,6,,Isaac Guerendo (SF - RB),Kimochi Inc.,
164,14,5,,Adam Thielen (Min - WR),Coach Mode R...,
165,14,4,,Wil Lutz (Den - K),Uncle Lous z...,
166,14,3,,Jerome Ford (Cle - RB),SLAMDUNK,
167,14,2,,Rachaad White (TB - RB),Purdy Eazy S...,
168,14,1,,Tyler Allgeier (Atl - RB),It be like that,
169,15,1,,Joshua Palmer (Buf - WR),It be like that,
170,15,2,,Najee Harris (LAC - RB),Purdy Eazy S...,
171,15,3,,Jaxson Dart (NYG - QB),SLAMDUNK,
172,15,4,,Rashod Bateman (Bal - WR),Uncle Lous z...,
173,15,5,,San Francisco (SF - DEF),Coach Mode R...,
174,15,6,,Evan McPherson (Cin - K),Kimochi Inc.,
175,15,7,,Kansas City (KC - DEF),Local sports...,
176,15,8,,Ka'imi Fairbairn (Hou - K),Zero Dark Purdy,
177,15,9,YES,Detroit (Det - DEF),Rush Mode Th...,
178,15,10,,Rico Dowdle (Car - RB),All Barkley ...,
179,15,11,,Dylan Sampson (Cle - RB),Modelos & TDs,
180,15,12,,Green Bay (GB - DEF),COACH SONNEIBO,
181,16,12,,Matt Gay (Was - K),COACH SONNEIBO,
182,16,11,,Russell Wilson (NYG - QB),Modelos & TDs,
