Round,Pick,Player,Pos
1,10,Joe Burrow (Cin - QB),QB
2,15,Malik Nabers (NYG - WR),WR
3,34,Chuba Hubbard (Car - RB),RB
4,39,Alvin Kamara (NO - RB),RB
5,58,DeVonta Smith (Phi - WR),WR
6,63,J.J. McCarthy (Min - QB),QB
7,82,Travis Etienne Jr. (Jax - RB),RB
8,87,Emeka Egbuka (TB - WR),WR
9,106,Philadelphia (Phi - DEF),UNK
10,111,Jake Ferguson (Dal - TE),TE
11,130,Quinshon Judkins (Cle - RB),RB
12,135,Jayden Higgins (Hou - WR),WR
13,154,Xavier Legette (Car - WR),WR
14,159,Trey Benson (Ari - RB),RB
15,178,Rico Dowdle (Car - RB),RB
16,183,Cam Little (Jax - K),UNK
