Round,Pick,Player,Pos
1,12,Justin Jefferson (Min - WR),WR
2,13,Ashton Jeanty (LV - RB),RB
3,36,Tee Higgins (Cin - WR),WR
4,37,James Cook (Buf - RB),RB
5,60,Jordan Love (GB - QB),QB
6,61,C.J. Stroud (Hou - QB),QB
7,84,Chris Olave (NO - WR),WR
8,85,Zay Flowers (Bal - WR),WR
9,108,Jordan Addison (Min - WR),WR
10,109,Caleb Williams (Chi - QB),QB
11,132,Tyler Warren (Ind - TE),TE
12,133,Javonte Williams (Dal - RB),RB
13,156,Jaydon Blue (Dal - RB),RB
14,157,Ray Davis (Buf - RB),RB
15,180,Green Bay (GB - DEF),UNK
16,181,Matt Gay (Was - K),UNK
