Round,Pick,Player,Pos
1,5,Jayden Daniels (Was - QB),QB
2,20,Jonathan Taylor (Ind - RB),RB
3,29,Tyreek Hill (Mia - WR),WR
4,44,Mike Evans (TB - WR),WR
5,53,Garrett Wilson (NYJ - WR),WR
6,68,David Montgomery (Det - RB),RB
7,77,Geno Smith (LV - QB),QB
8,92,Matthew Stafford (LAR - QB),QB
9,101,Rashee Rice (KC - WR),WR
10,116,Nick Chubb (Hou - RB),RB
11,125,Joe Mixon (Hou - RB),RB
12,140,Joe Flacco (Cle - QB),QB
13,149,Dalton Kincaid (Buf - TE),TE
14,164,Adam Thielen (Min - WR),WR
15,173,San Francisco (SF - DEF),UNK
16,188,Will Reichard (Min - K),UNK
