Round,Pick,Player,Pos
1,1,Bijan Robinson (Atl - RB),RB
2,24,Bucky Irving (TB - RB),RB
3,25,Trey McBride (Ari - TE),TE
4,48,Kyler Murray (Ari - QB),QB
5,49,Jared Goff (Det - QB),QB
6,72,DJ Moore (Chi - WR),WR
7,73,Jameson Williams (Det - WR),WR
8,96,Tyrone Tracy Jr. (NYG - RB),RB
9,97,Jerry Jeudy (Cle - WR),WR
10,120,Pittsburgh (Pit - DEF),UNK
11,121,Cameron Dicker (LAC - K),UNK
12,144,Wan'Dale Robinson (NYG - WR),WR
13,145,Austin Ekeler (Was - RB),RB
14,168,Tyler Allgeier (Atl - RB),RB
15,169,Joshua Palmer (Buf - WR),WR
16,192,Christian Kirk (Hou - WR),WR
