Round,Pick,Player,Pos
1,6,Lamar Jackson (Bal - QB),QB
2,19,Nico Collins (Hou - WR),WR
3,30,Brock Bowers (LV - TE),TE
4,43,Kenneth Walker III (Sea - RB),RB
5,54,Drake Maye (NE - QB),QB
6,67,Tetairoa McMillan (Car - WR),WR
7,78,Calvin Ridley (Ten - WR),WR
8,91,Jordan Mason (Min - RB),RB
9,102,Braelon Allen (NYJ - RB),RB
10,115,Josh Downs (Ind - WR),WR
11,126,Rhamondre Stevenson (NE - RB),RB
12,139,Darnell Mooney (Atl - WR),WR
13,150,Colston Loveland (Chi - TE),TE
14,163,Isaac Guerendo (SF - RB),RB
15,174,Evan McPherson (Cin - K),UNK
16,187,Los Angeles (LAC - DEF),UNK
