Round,Pick,Player,Pos
1,7,Jalen Hurts (Phi - QB),QB
2,18,De'Von Achane (Mia - RB),RB
3,31,Brian Thomas Jr. (Jax - WR),WR
4,42,George Kittle (SF - TE),TE
5,55,Dak Prescott (Dal - QB),QB
6,66,Isiah Pacheco (KC - RB),RB
7,79,Courtland Sutton (Den - WR),WR
8,90,Matthew Golden (GB - WR),WR
9,103,Zach Charbonnet (Sea - RB),RB
10,114,Jacory Croskey-Merritt (Was - RB),RB
11,127,Cam Ward (Ten - QB),QB
12,138,Cooper Kupp (Sea - WR),WR
13,151,Luther Burden III (Chi - WR),WR
14,162,Brandon Aiyuk (SF - WR),WR
15,175,Kansas City (KC - DEF),UNK
16,186,Chris Boswell (Pit - K),UNK
