Round,Pick,Player,Pos
1,2,Ja'Marr Chase (Cin - WR),WR
2,23,Puka Nacua (LAR - WR),WR
3,26,Sam LaPorta (Det - TE),TE
4,47,Breece Hall (NYJ - RB),RB
5,50,Justin Herbert (LAC - QB),QB
6,71,D'Andre Swift (Chi - RB),RB
7,74,Aaron Jones Sr. (Min - RB),RB
8,95,Deebo Samuel (Was - WR),WR
9,98,Jakobi Meyers (LV - WR),WR
10,119,Brandon Aubrey (Dal - K),UNK
11,122,Tucker Kraft (GB - TE),TE
12,143,Aaron Rodgers (Pit - QB),QB
13,146,Minnesota (Min - DEF),UNK
14,167,Rachaad White (TB - RB),RB
15,170,Najee Harris (LAC - RB),RB
16,191,Deshaun Watson (Cle - QB),QB
