Round,Pick,Player,Pos
1,9,Jahmyr Gibbs (Det - RB),RB
2,16,Derrick Henry (Bal - RB),RB
3,33,A.J. Brown (Phi - WR),WR
4,40,Ladd McConkey (LAC - WR),WR
5,57,Terry McLaurin (Was - WR),WR
6,64,George Pickens (Dal - WR),WR
7,81,T.J. Hockenson (Min - TE),TE
8,88,Jaylen Warren (Pit - RB),RB
9,105,Michael Penix Jr. (Atl - QB),QB
10,112,Justin Fields (NYJ - QB),QB
11,129,J.K. Dobbins (Den - RB),RB
12,136,Tank Bigsby (Jax - RB),RB
13,153,Chris Godwin Jr. (TB - WR),WR
14,160,Dallas Goedert (Phi - TE),TE
15,177,Detroit (Det - DEF),UNK
16,184,Tyler Bass (Buf - K),UNK
