Round,Pick,Player,Pos
1,3,Josh Allen (Buf - QB),QB
2,22,Chase Brown (Cin - RB),RB
3,27,Omarion Hampton (LAC - RB),RB
4,46,Marvin Harrison Jr. (Ari - WR),WR
5,51,James Conner (Ari - RB),RB
6,70,Xavier Worthy (KC - WR),WR
7,75,Trevor Lawrence (Jax - QB),QB
8,94,Travis Hunter (Jax - WR),WR
9,99,Stefon Diggs (NE - WR),WR
10,118,Khalil Shakir (Buf - WR),WR
11,123,Baltimore (Bal - DEF),UNK
12,142,Keon Coleman (Buf - WR),WR
13,147,Kyle Pitts Sr. (Atl - TE),TE
14,166,Jerome Ford (Cle - RB),RB
15,171,Jaxson Dart (NYG - QB),QB
16,190,Jalen Coker (Car - WR),WR
