Round,Pick,Player,Pos
1,4,Saquon Barkley (Phi - RB),RB
2,21,Josh Jacobs (GB - RB),RB
3,28,Baker Mayfield (TB - QB),QB
4,45,Brock Purdy (SF - QB),QB
5,52,Davante Adams (LAR - WR),WR
6,69,Mark Andrews (Bal - TE),TE
7,76,Jaylen Waddle (Mia - WR),WR
8,93,Denver (Den - DEF),UNK
9,100,Jauan Jennings (SF - WR),WR
10,117,Jayden Reed (GB - WR),WR
11,124,Cam Skattebo (NYG - RB),RB
12,141,Sam Darnold (Sea - QB),QB
13,148,Keenan Allen (LAC - WR),WR
14,165,Wil Lutz (Den - K),UNK
15,172,Rashod Bateman (Bal - WR),WR
16,189,Hunter Henry (NE - TE),TE
