Round,Pick,Player,Pos
1,8,Amon-Ra St. Brown (Det - WR),WR
2,17,Patrick Mahomes (KC - QB),QB
3,32,Drake London (Atl - WR),WR
4,41,Kyren Williams (LAR - RB),RB
5,56,TreVeyon Henderson (NE - RB),RB
6,65,Tony Pollard (Ten - RB),RB
7,80,Ricky Pearsall (SF - WR),WR
8,89,Rome Odunze (Chi - WR),WR
9,104,David Njoku (Cle - TE),TE
10,113,Bhayshul Tuten (Jax - RB),RB
11,128,Michael Pittman Jr. (Ind - WR),WR
12,137,Rashid Shaheed (NO - WR),WR
13,152,Buffalo (Buf - DEF),UNK
14,161,Shedeur Sanders (Cle - QB),QB
15,176,Ka'imi Fairbairn (Hou - K),UNK
16,185,Ollie Gordon II (Mia - RB),RB
